subject,session,trial,list,id,cue,target,onset
64,1,62,4,94,center,smell,1281888.20940681
64,1,63,4,109,sofa,tail,1281893.70916488
64,1,64,4,39,thief,drunk,1281899.2088985
64,1,65,4,23,leather,cheap,1281904.70866412
64,1,66,4,42,squad,elephant,1281910.20840408
64,1,67,4,99,theft,spaghetti,1281915.70817332
64,1,68,4,38,weed,drug,1281921.2079166
64,1,69,4,63,union,lose,1281926.7076638
64,1,70,4,62,dream,lightning,1281932.207443
64,1,71,4,118,cell,uncle,1281937.70718537
64,1,72,4,10,goose,blood,1281943.20693801
64,1,73,4,70,cape,movie,1281948.70667495
64,1,74,4,15,customer,bottom,1281954.20643815
64,1,75,4,83,denial,rabbit,1281959.70618113
64,1,76,4,112,shoe,television,1281965.20594705
64,1,77,4,96,wreck,soap,1281970.70569546
64,1,78,4,22,substance,chair,1281976.20544839
64,1,79,4,95,enemy,snake,1281981.70520677
64,1,80,4,89,danger,sheriff,1281987.20495337
64,1,81,5,90,branch,shirt,1282199.42876944
64,1,82,5,4,salesman,answer,1282204.92849672
64,1,83,5,104,trash,steak,1282210.42821495
64,1,84,5,30,medal,cute,1282215.92799898
64,1,85,5,40,tree,duck,1282221.42774588
64,1,86,5,19,hair,cake,1282226.92750244
64,1,87,5,98,strawberry,south,1282232.42723425
64,1,88,5,13,plenty,bone,1282237.92701133
64,1,89,5,111,unit,teeth,1282243.42673529
64,1,90,5,78,audience,poor,1282248.92656339
64,1,91,5,65,plate,math,1282254.42629279
64,1,92,5,14,yard,book,1282259.92601433
64,1,93,5,79,fountain,pudding,1282265.42575942
64,1,94,5,17,picture,brush,1282270.9254695
64,1,95,5,49,judgment,frog,1282276.42525443
64,1,96,5,35,pirate,disappear,1282281.92503031
64,1,97,5,76,click,plane,1282287.42478416
64,1,98,5,7,liver,beer,1282292.92454887
64,1,99,5,71,comedy,nail,1282298.42429215
64,1,100,5,105,boom,steal,1282303.92404327
64,1,101,6,82,mate,queen,1282500.14852945
64,1,102,6,53,wealth,high,1282505.64829235
64,1,103,6,5,alarm,bank,1282511.14805162
64,1,104,6,113,turtle,test,1282516.64779883
64,1,105,6,50,sailor,ghost,1282522.1475409
64,1,106,6,87,wall,scare,1282527.6473361
64,1,107,6,85,action,rock,1282533.14705644
64,1,108,6,84,chase,rain,1282538.64679911
64,1,109,6,93,style,small,1282544.14654963
64,1,110,6,102,post,stamp,1282549.64630167
64,1,111,6,110,coast,tear,1282555.14605642
64,1,112,6,80,buzz,push,1282560.64580513
64,1,113,6,20,instant,candle,1282566.14556109
64,1,114,6,57,brand,jeans,1282571.64532036
64,1,115,6,21,contact,card,1282577.14506153
64,1,116,6,36,pity,downstairs,1282582.6448528
64,1,117,6,56,armor,husband,1282588.14458461
64,1,118,6,69,clue,monkey,1282593.64433302
64,1,119,6,48,driver,forward,1282599.14408656
64,1,120,6,58,soccer,jelly,1282604.64383648
65,1,1,1,14,circus,book,2757808.79658307
65,1,2,1,102,click,stamp,2757814.29635442
65,1,3,1,77,audience,pool,2757819.79610252
65,1,4,1,27,sofa,copy,2757825.29586753
65,1,5,1,29,massage,cracker,2757830.79563284
65,1,6,1,58,writer,jelly,2757836.29539966
65,1,7,1,67,vampire,mirror,2757841.79516859
65,1,8,1,36,trailer,downstairs,2757847.29495261
65,1,9,1,11,curtain,board,2757852.79471128
65,1,10,1,70,document,movie,2757858.29447417
65,1,11,1,47,warehouse,forever,2757863.79423314
65,1,12,1,105,judgment,steal,2757869.29400419
65,1,13,1,35,cape,disappear,2757874.79377131
65,1,14,1,3,retreat,animal,2757880.29354024
65,1,15,1,113,employment,test,2757885.79330887
65,1,16,1,96,tragedy,soap,2757891.29309591
65,1,17,1,111,dressing,teeth,2757896.7928431
65,1,18,1,23,enemy,cheap,2757902.29260872
65,1,19,1,24,center,church,2757907.7923704
65,1,20,1,12,cell,boat,2757913.29214507
65,1,21,2,74,scar,pepper,2758193.7135476
65,1,22,2,76,garbage,plane,2758199.21332136
65,1,23,2,53,customer,high,2758204.71308938
65,1,24,2,65,memory,math,2758210.21284805
65,1,25,2,39,link,drunk,2758215.71257683
65,1,26,2,33,buzz,dirt,2758221.21238651
65,1,27,2,90,novel,shirt,2758226.71216058
65,1,28,2,66,interest,minus,2758232.21191713
65,1,29,2,42,picture,elephant,2758237.71168636
65,1,30,2,120,soccer,window,2758243.21144352
65,1,31,2,86,thief,rules,2758248.71121457
65,1,32,2,104,hook,steak,2758254.21098078
65,1,33,2,117,print,train,2758259.71074066
65,1,34,2,114,theft,thin,2758265.21058686
65,1,35,2,118,gang,uncle,2758270.71027308
65,1,36,2,60,turtle,laugh,2758276.21003839
65,1,37,2,41,plenty,eggs,2758281.70980853
65,1,38,2,46,debate,flowers,2758287.20957656
65,1,39,2,13,armor,bone,2758292.70934036
65,1,40,2,17,port,brush,2758298.20910476
65,1,41,3,98,junk,south,2758516.16647031
65,1,42,3,56,type,husband,2758521.66623985
65,1,43,3,115,union,thread,2758527.16600334
65,1,44,3,83,lieutenant,rabbit,2758532.66576956
65,1,45,3,55,concert,hungry,2758538.165524
65,1,46,3,50,burst,ghost,2758543.66530832
65,1,47,3,6,neighbor,bear,2758549.16509295
